team,season,valore_rosa_eur,n_giocatori,valore_rosa_milioni,affidabile
Verona,2011/2012,10275000,11,10.3,False
Verona,2012/2013,25250000,23,25.2,True
Verona,2013/2014,43450000,25,43.4,True
Verona,2014/2015,37025000,37,37.0,True
Verona,2015/2016,41300000,31,41.3,True
Verona,2016/2017,35375000,33,35.4,True
Verona,2017/2018,43050000,30,43.0,True
Verona,2018/2019,25050000,31,25.0,True
Verona,2019/2020,112325000,34,112.3,True
Verona,2020/2021,237000000,50,237.0,True
Verona,2021/2022,143350000,31,143.4,True
Verona,2022/2023,104650000,36,104.6,True
Verona,2023/2024,119875000,41,119.9,True
Verona,2024/2025,101250000,35,101.2,True
Verona,2025/2026,100375000,34,100.4,True
